,date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,Entry_signal_long_7,Exit_signal_long_7,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
147,2021-02-04,13560.89,0.01182775882176057,13397.640454196253,13311.97572169607,13242.611657899146,13176.046071868095,12805.497795964631,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
148,2021-02-05,13603.96,0.003176045230069757,13466.413636130836,13365.063772296784,13287.780200661753,13216.799779309229,12836.810039260137,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
149,2021-02-08,13695.02,0.0066936392050551685,13542.615757420557,13425.055813697369,13338.685175579034,13262.344562232158,12870.465331838172,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
150,2021-02-09,13687.08,-0.0005797727933219976,13590.77050494704,13472.696574843301,13382.234528631652,13302.795556305287,12902.489436471968,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
151,2021-02-10,13655.27,-0.0023240895793696925,13612.27033663136,13505.891743053608,13416.363962552698,13336.36455094288,12932.010242884831,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
152,2021-02-11,13734.35,0.0057911707348152755,13652.963557754241,13547.429607952952,13456.112217233609,13374.267927043556,12963.474547085427,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
153,2021-02-12,13807.7,0.005340624055743426,13704.542371836165,13594.751497416053,13500.06069007941,13415.547172087026,12996.581427591882,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
154,2021-02-16,13773.77,-0.002457324536309425,13727.618247890776,13627.300316067678,13534.274353819485,13449.663631888265,13027.059410823571,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
155,2021-02-17,13699.71,-0.005376886647591839,13718.31549859385,13640.465713146279,13554.953809592049,13473.477571708429,13053.437865301079,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
156,2021-02-18,13637.51,-0.004540242092715753,13691.3803323959,13639.928310756048,13565.27333339304,13489.099707736197,13076.342654897117,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
157,2021-02-19,13580.78,-0.004159850295251788,13654.513554930601,13629.174072436765,13567.211666718911,13497.831164142273,13096.124511567818,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
158,2021-02-22,13223.74,-0.026290095266987668,13510.922369953736,13555.458786539173,13524.277708379048,13471.727243747771,13101.129040525942,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
