,date,close,ROI,RSI_14,Entry_signal_long_6,Exit_signal_long_6,Entry_signal_short_6,Exit_signal_short_6,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
174,2021-03-16,13152.28,0.005330769,52.14851679,0,0,0,0,0,0,100000.0,0,0,0
175,2021-03-17,13202.38,0.003809225,53.11044109,0,0,0,0,0,0,100000.0,0,0,0
176,2021-03-18,12789.14,-0.031300417000000004,45.0636745,0,0,0,0,0,0,100000.0,0,0,0
177,2021-03-19,12866.99,0.006087196,46.70197498,0,0,0,0,0,0,100000.0,0,0,0
178,2021-03-22,13086.51,0.017060711,51.12781647,0,0,0,0,0,0,100000.0,0,0,0
179,2021-03-23,13017.79,-0.005251209000000001,49.73547815,0,0,0,0,0,0,100000.0,0,0,0
180,2021-03-24,12798.88,-0.016816218,45.48602853,0,0,0,0,0,0,100000.0,0,0,0
181,2021-03-25,12780.51,-0.0014352820000000002,45.13750495,0,0,0,0,0,0,100000.0,0,0,0
182,2021-03-26,12979.12,0.015540068,49.63109361,0,0,0,0,0,0,100000.0,0,0,0
183,2021-03-29,12965.74,-0.0010308869999999999,49.337911,0,0,0,0,0,0,100000.0,0,0,0
184,2021-03-30,12896.53,-0.005337914,47.76609567,0,0,0,0,0,0,100000.0,0,0,0
185,2021-03-31,13091.44,0.015113368,52.36830874,0,0,0,0,0,0,100000.0,0,0,0
186,2021-04-01,13329.51,0.018185165,57.31530569,0,0,0,0,0,0,100000.0,0,0,0
187,2021-04-05,13598.16,0.020154528999999997,62.09899751,0,0,0,0,0,0,100000.0,0,0,0
188,2021-04-06,13578.46,-0.001448725,61.55422778,0,0,0,0,0,0,100000.0,0,0,0
189,2021-04-07,13616.7,0.002816225,62.2465705,0,0,0,0,0,0,100000.0,0,0,0
190,2021-04-08,13758.5,0.010413683,64.77943464,0,0,0,0,0,0,100000.0,0,0,0
191,2021-04-09,13845.05,0.006290657,66.26703254,0,0,0,0,0,0,100000.0,0,0,0
192,2021-04-12,13819.35,-0.0018562589999999999,65.38393029,0,0,0,0,0,0,100000.0,0,0,0
193,2021-04-13,13986.49,0.012094635,68.33901447,0,0,0,0,0,0,100000.0,0,0,0
194,2021-04-14,13803.91,-0.013054026000000002,62.10228158,0,1,1,0,0,0,100000.0,0,0,0
195,2021-04-15,14026.19,0.016102684,66.15223725,0,0,0,0,0,0,100000.0,0,0,0
196,2021-04-16,14041.91,0.001120761,66.42550197,0,0,0,0,0,0,100000.0,0,0,0
197,2021-04-19,13907.67,-0.009559953000000001,61.83458796,0,0,0,0,0,0,100000.0,0,0,0
198,2021-04-20,13809.3,-0.007073076,58.63644861,0,0,0,0,0,0,100000.0,0,0,0
199,2021-04-21,13935.15,0.009113424,61.3879161,0,0,0,0,0,0,100000.0,0,0,0
200,2021-04-22,13762.36,-0.012399578999999999,55.89077636,0,0,0,0,0,0,100000.0,0,0,0
201,2021-04-23,13941.44,0.013012303000000001,59.89875087,0,0,0,0,0,0,100000.0,0,0,0
202,2021-04-26,14026.16,0.006076847,61.67303635,0,0,0,0,0,0,100000.0,0,0,0
203,2021-04-27,13960.28,-0.0046969379999999995,59.46953918,0,0,0,0,0,0,100000.0,0,0,0
204,2021-04-28,13901.62,-0.004201921,57.49958982,0,0,0,0,0,0,100000.0,0,0,0
205,2021-04-29,13970.21,0.004933957,59.2013927,0,0,0,0,0,0,100000.0,0,0,0
206,2021-04-30,13860.76,-0.007834528,55.38997169,0,0,0,0,0,0,100000.0,0,0,0
207,2021-05-03,13799.72,-0.004403799,53.32794953,0,0,0,0,0,0,100000.0,0,0,0
208,2021-05-04,13544.67,-0.018482258999999997,45.67639781,0,0,0,0,0,0,100000.0,0,0,0
209,2021-05-05,13503.37,-0.00304917,44.56142792,0,0,0,0,0,0,100000.0,0,0,0
210,2021-05-06,13613.73,0.008172775,48.20012833,0,0,0,0,0,0,100000.0,0,0,0
211,2021-05-07,13719.63,0.0077789109999999995,51.49039398,0,0,0,0,0,0,100000.0,0,0,0
212,2021-05-10,13359.08,-0.026279862999999997,41.76387771,0,0,0,0,0,0,100000.0,0,0,0
213,2021-05-11,13351.27,-0.000584621,41.58064939,0,0,0,0,0,0,100000.0,0,0,0
214,2021-05-12,13001.63,-0.026187771000000002,34.32112666,0,0,0,0,0,0,100000.0,0,0,0
215,2021-05-13,13109.15,0.008269732,37.91104039,0,0,0,0,0,0,100000.0,0,0,0
216,2021-05-14,13393.12,0.021661969,46.26485165,0,0,0,0,0,0,100000.0,0,0,0
217,2021-05-17,13312.91,-0.005988896,44.44581323,0,0,0,0,0,0,100000.0,0,0,0
218,2021-05-18,13217.68,-0.007153206999999999,42.31840918,0,0,0,0,0,0,100000.0,0,0,0
219,2021-05-19,13237.91,0.0015305260000000002,42.94319812,0,0,0,0,0,0,100000.0,0,0,0
220,2021-05-20,13494.09,0.019351997,50.28669274,0,0,0,0,0,0,100000.0,0,0,0
221,2021-05-21,13411.74,-0.006102672,48.14172829,0,0,0,0,0,0,100000.0,0,0,0
222,2021-05-24,13641.75,0.017149900000000003,54.03867693,0,0,0,0,0,0,100000.0,0,0,0
223,2021-05-25,13657.73,0.001171404,54.42641393,0,0,0,0,0,0,100000.0,0,0,0
224,2021-05-26,13702.74,0.00329557,55.56352082,0,0,0,0,0,0,100000.0,0,0,0
