,date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,Entry_signal_short_5,Exit_signal_short_5,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
1027,2020-12-22 23:00:00,1866.9,0.0010724435626574547,1865.4725666226002,1865.3370470136404,1866.156593759118,1867.274966939875,1872.3542475218896,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1028,2020-12-23 00:00:00,1866.52,-0.0002035459853233501,1865.8217110817327,1865.5521293747968,1866.2020195392288,1867.2030653265533,1872.1254535014239,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1029,2020-12-23 01:00:00,1865.59,-0.0004982534341984035,1865.7444740544888,1865.5590149430152,1866.1255170968248,1867.0494400573573,1871.8691612072503,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1030,2020-12-23 02:00:00,1866.59,0.0005360234563864806,1866.026316036326,1865.7464667715576,1866.1835774597214,1867.0056838614194,1871.6621352775546,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1031,2020-12-23 03:00:00,1869.44,0.0015268484241317546,1867.1642106908844,1866.418018267638,1866.5906302772564,1867.2375234936649,1871.57499271765,0,1,0,0,100023.28343391624,-997,0,0.0
1032,2020-12-23 04:00:00,1868.91,-0.00028350736049298497,1867.7461404605897,1866.87110585534,1866.8805514926,1867.3968069704583,1871.4704831993106,0,0,0,0,100023.28343391624,0,0,0.0
1033,2020-12-23 05:00:00,1865.86,-0.0016319672964456575,1867.1174269737269,1866.687268427096,1866.7529825560248,1867.2504444018439,1871.2504642503186,1,0,0,-1,101023.28343391624,1000,0,0.5359458909028545
1034,2020-12-23 06:00:00,1864.82,-0.000557383726538907,1866.3516179824844,1866.3477650767154,1866.5113597365214,1867.01897350643,1870.9982891816785,0,0,0,-1,101023.28343391624,0,0,0.5359458909028545
1035,2020-12-23 07:00:00,1861.51,-0.0017749702384144415,1864.7377453216568,1865.4681714264032,1865.8861897694558,1866.4943093629608,1870.626199409848,0,0,0,-1,101023.28343391624,0,0,0.5359458909028545
1036,2020-12-23 08:00:00,1868.5,0.0037550160890889033,1865.9918302144376,1866.019412985239,1866.2129160482737,1866.685327518869,1870.5428190408343,0,1,0,0,100021.86853676425,-1001,0,0.0
1037,2020-12-23 09:00:00,1876.51,0.004286861118544261,1869.4978868096246,1867.926792442468,1867.50005154224,1867.6210106123096,1870.776826137272,0,0,0,0,100021.86853676425,0,0,0.0
1038,2020-12-23 10:00:00,1871.67,-0.002579256172362432,1870.2219245397503,1868.6073756347464,1868.02129509946,1868.0066286492329,1870.811852563261,0,0,0,0,100021.86853676425,0,0,0.0
1039,2020-12-23 11:00:00,1874.48,0.0015013330341353548,1871.6412830265008,1869.675125519338,1868.8286332120279,1868.6231402064486,1870.9557014823486,0,0,0,0,100021.86853676425,0,0,0.0
